Crop,Fertilizer,Hazardous Effects,Eco-friendly Alternatives,Mitigation Techniques
Soybean,S.S.P,Phosphorus runoff,"Bone Meal, Organic fertilizers",Regular soil testing
Chickpeas,DiAmmonium Phosphate(DAP),Eutrophication risks,Organic Fertilizers,Conservation tillage practices
Chickpeas,M.O.P,Soil salinity,Potassium-rich compost,Regular monitoring and soil testing
Ginger,Urea,"Nitrate leaching, water pollution",Organic Fertilizers,Split applications
Ginger,Ammonium Sulphate,Soil toxicity,Green Manure,Soil testing and balanced applications
Ginger,DiAmmonium Phosphate(DAP),Nutrient runoff,Bone Meal,Improved irrigation management
Turmeric,Urea,Groundwater contamination,Organic Matter,Use of organic mulches
Turmeric,Ferrous Sulphate(FeSO4),Soil acidification,Organic Iron sources,Monitor soil pH regularly
Turmeric,White Potash,Soil salinity issues,Potassium-rich organic matter,Ensure proper drainage
Grapes,Ferrous Sulphate(FeSO4),Soil toxicity,Organic Iron supplements,Monitor soil conditions regularly
Grapes,10:10:10 NPK,Nutrient imbalance,"Compost, Organic fertilizers",Regular soil testing
Grapes,Hydrated Lime,Soil alkalinity issues,Organic pH adjusters,Monitor soil pH and adjust accordingly
Banana,Urea,"Nitrogen leaching, water pollution",Organic Nitrogen sources,Use of slow-release fertilizers
Banana,M.O.P,Soil salinity,Potassium-rich organic matter,Proper irrigation management
Banana,S.S.P,Phosphorus runoff,"Bone Meal, Organic fertilizers",Regular soil testing
Mango,Urea,"Nitrogen leaching, water pollution",Organic Nitrogen sources,Use of slow-release fertilizers
Mango,M.O.P,Soil salinity,Potassium-rich organic matter,Proper irrigation management
Mango,S.S.P,Phosphorus runoff,"Bone Meal, Organic fertilizers",Regular soil testing
Apple,Urea,"Nitrogen leaching, water pollution",Organic Nitrogen sources,Use of slow-release fertilizers
Apple,M.O.P,Soil salinity,Potassium-rich organic matter,Proper irrigation management
Apple,S.S.P,Phosphorus runoff,"Bone Meal, Organic fertilizers",Regular soil testing
Orange,Urea,"Nitrogen leaching, water pollution",Organic Nitrogen sources,Use of slow-release fertilizers
Orange,M.O.P,Soil salinity,Potassium-rich organic matter,Proper irrigation management
Orange,S.S.P,Phosphorus runoff,"Bone Meal, Organic fertilizers",Regular soil testing
Pomegranate,Urea,"Nitrogen leaching, water pollution",Organic Nitrogen sources,Use of slow-release fertilizers
Pomegranate,M.O.P,Soil salinity,Potassium-rich organic matter,Proper irrigation management
Pomegranate,S.S.P,Phosphorus runoff,"Bone Meal, Organic fertilizers",Regular soil testing
Papaya,Urea,"Nitrogen leaching, water pollution",Organic Nitrogen sources,Use of slow-release fertilizers
Papaya,M.O.P,Soil salinity,Potassium-rich organic matter,Proper irrigation management
Papaya,S.S.P,Phosphorus runoff,"Bone Meal, Organic fertilizers",Regular soil testing
Guava,Urea,"Nitrogen leaching, water pollution",Organic Nitrogen sources,Use of slow-release fertilizers
Guava,M.O.P,Soil salinity,Potassium-rich organic matter,Proper irrigation management
Guava,S.S.P,Phosphorus runoff,"Bone Meal, Organic fertilizers",Regular soil testing
Pineapple,Urea,"Nitrogen leaching, water pollution",Organic Nitrogen sources,Use of slow-release fertilizers
Pineapple,M.O.P,Soil salinity,Potassium-rich organic matter,Proper irrigation management
Pineapple,S.S.P,Phosphorus runoff,"Bone Meal, Organic fertilizers",Regular soil testing
Strawberry,Urea,"Nitrogen leaching, water pollution",Organic Nitrogen sources,Use of slow-release fertilizers
Strawberry,M.O.P,Soil salinity,Potassium-rich organic matter,Proper irrigation management
Strawberry,S.S.P,Phosphorus runoff,"Bone Meal, Organic fertilizers",Regular soil testing
Watermelon,Urea,"Nitrogen leaching, water pollution",Organic Nitrogen sources,Use of slow-release fertilizers
Watermelon,M.O.P,Soil salinity,Potassium-rich organic matter,Proper irrigation management
Watermelon,S.S.P,Phosphorus runoff,"Bone Meal, Organic fertilizers",Regular soil testing
Pumpkin,Urea,"Nitrogen leaching, water pollution",Organic Nitrogen sources,Use of slow-release fertilizers
Pumpkin,M.O.P,Soil salinity,Potassium-rich organic matter,Proper irrigation management
Pumpkin,S.S.P,Phosphorus runoff,"Bone Meal, Organic fertilizers",Regular soil testing
